campaign_id,product_id,campaign_name,start_date,end_date,channel
CAM001,P011,Campaign 1,2024-08-03,2024-08-28,Search
CAM002,P003,Campaign 2,2024-02-10,2024-02-20,Display
CAM003,P008,Campaign 3,2024-06-09,2024-06-24,Display
CAM004,P009,Campaign 4,2024-11-05,2024-11-30,Search
CAM005,P009,Campaign 5,2024-08-15,2024-09-13,Display
CAM006,P019,Campaign 6,2024-09-23,2024-10-12,Search
CAM007,P006,Campaign 7,2024-04-04,2024-04-09,Social Media
CAM008,P008,Campaign 8,2024-05-08,2024-06-05,Email
CAM009,P007,Campaign 9,2024-03-26,2024-04-12,Email
CAM010,P004,Campaign 10,2024-02-02,2024-02-22,Email
CAM011,P001,Campaign 11,2024-07-22,2024-08-12,Email
CAM012,P004,Campaign 12,2024-05-14,2024-06-07,Social Media
CAM013,P003,Campaign 13,2024-12-01,2024-12-18,Display
CAM014,P008,Campaign 14,2024-05-06,2024-06-03,Display
CAM015,P015,Campaign 15,2024-11-16,2024-11-25,Social Media
CAM016,P017,Campaign 16,2024-03-28,2024-04-02,Email
CAM017,P012,Campaign 17,2024-06-15,2024-07-05,Search
CAM018,P018,Campaign 18,2024-05-19,2024-06-10,Search
CAM019,P005,Campaign 19,2024-10-03,2024-10-13,Search
CAM020,P019,Campaign 20,2024-08-10,2024-08-31,Display
CAM021,P012,Campaign 21,2024-09-03,2024-09-25,Social Media
CAM022,P003,Campaign 22,2024-08-14,2024-08-28,Display
CAM023,P014,Campaign 23,2024-05-13,2024-05-22,Display
CAM024,P001,Campaign 24,2024-01-01,2024-01-22,Social Media
CAM025,P012,Campaign 25,2024-05-26,2024-06-15,Email
CAM026,P016,Campaign 26,2024-09-01,2024-09-15,Email
CAM027,P014,Campaign 27,2024-05-29,2024-06-22,Social Media
CAM028,P001,Campaign 28,2024-10-07,2024-10-23,Social Media
CAM029,P014,Campaign 29,2024-10-14,2024-11-01,Search
CAM030,P008,Campaign 30,2024-03-24,2024-04-20,Search
